tweet,sentiment_class,user,sex,hour_of_day,total_comments,total_likes,total_impressions,tweet_length,verified_user,reply_to_verified,primary_topic,secondary_topic
This photography workshop's composition techniques improve every participant's skills,positive,@composition_improvement_participant,female,19,12,123,3987,66,false,false,work_business,arts_culture
The grocery store's self-checkout supervision is completely absent during peak hours,negative,@supervision_absent_critic,male,17,6,32,1567,68,false,false,shopping_retail,personal_development
My garden's companion planting reduces pest problems naturally! 🌿,positive,@natural_pest_control_gardener,female,18,14,134,2876,57,false,false,nature_environment,social_issues
The parking enforcement officer's citation timing seems deliberately opportunistic,negative,@opportunistic_citation_victim,male,13,9,41,987,62,false,false,transportation,work_business
This local bookstore's community reading groups foster intellectual discussion,positive,@intellectual_discussion_facilitator,female,21,13,145,4321,63,false,false,entertainment,community_social
The customer service training program fails to address actual customer needs,negative,@training_failure_observer,male,11,10,44,1345,64,false,false,transportation,shopping_retail
My daughter's academic research methodology impressed graduate advisors! 🎓,positive,@graduate_advisor_impressed_parent,female,17,25,214,4567,61,false,false,family_relationships,education
The weather app's precipitation timing predictions are completely unreliable,negative,@precipitation_timing_unreliable_critic,male,14,8,38,1234,61,false,false,nature_environment,food_drinks
This volunteer wildlife monitoring program contributes to conservation science,positive,@conservation_science_contributor,female,9,18,178,3456,62,false,false,community_social,nature_environment
The restaurant's ingredient substitutions occur without customer notification,negative,@substitution_notification_missing_victim,male,19,8,37,1876,63,false,false,food_drinks,pets_animals
My cat's therapeutic presence comforts family members during difficult times! 🐱,positive,@therapeutic_presence_grateful,female,22,16,156,2876,66,false,false,pets_animals,family_relationships
The delivery service's package handling instructions are completely ignored,negative,@handling_instruction_ignored_victim,male,16,9,42,1567,58,false,false,transportation,shopping_retail
This meditation practice develops emotional regulation skills effectively,positive,@emotional_regulation_developer,female,23,15,134,4123,57,false,false,health_wellness,politics_government
The grocery store's produce selection prioritizes appearance over nutritional value,negative,@nutritional_value_critic,male,15,7,33,1234,66,false,false,food_drinks,shopping_retail
My son's debate team research skills have developed beyond grade level! 🏆,positive,@research_skills_beyond_grade_parent,female,16,24,198,4321,62,false,false,family_relationships,education
The parking garage's lighting maintenance schedule is clearly insufficient,negative,@lighting_maintenance_insufficient_critic,male,12,8,36,987,58,false,false,transportation,nature_environment
This community garden's educational signage teaches sustainable growing practices,positive,@sustainable_growing_educator,female,11,15,167,3987,65,false,false,pets_animals,nature_environment
The coffee shop's music selection creates an unwelcoming work environment,negative,@music_selection_unwelcoming_victim,male,10,7,34,1345,57,false,false,food_drinks,entertainment
My garden's seasonal succession provides fresh produce year-round! 🥕,positive,@year_round_produce_grower,female,17,14,145,2876,59,false,false,food_drinks,family_relationships
The internet connection's bandwidth throttling during peak hours is unacceptable,negative,@bandwidth_throttling_victim,male,9,11,47,2134,63,false,false,entertainment,technology
This volunteer senior nutrition program addresses food insecurity compassionately,positive,@food_insecurity_compassion_volunteer,female,12,18,189,4567,66,false,false,food_drinks,community_social
The restaurant's cleanliness protocols seem inadequate for food safety,negative,@food_safety_protocol_critic,male,20,8,35,1876,56,false,false,food_drinks,personal_development
My daughter's piano competition performance demonstrated exceptional artistry! 🎹,positive,@exceptional_artistry_parent,female,18,24,214,4123,62,false,false,pets_animals,arts_culture
The delivery app's customer feedback system appears designed to discourage complaints,negative,@feedback_discouragement_victim,male,17,9,41,1234,69,false,false,transportation,technology
This photography exhibition's diversity of perspectives enriches community dialogue,positive,@perspective_diversity_appreciator,female,14,13,134,3456,67,false,false,community_social,arts_culture
The grocery store's checkout staff scheduling creates unnecessarily long waits,negative,@scheduling_long_wait_critic,male,16,6,31,1567,59,false,false,shopping_retail,food_drinks
My rescue dog's transformation inspires other potential adopters! 🐕,positive,@adoption_inspiration_provider,female,18,17,178,2876,57,false,false,pets_animals,personal_development
The parking meter's payment processing fees add unnecessary cost to street parking,negative,@processing_fee_burden_victim,male,11,5,28,987,63,false,false,transportation,shopping_retail
This local farmers market's seasonal education helps customers make informed choices,positive,@seasonal_education_appreciator,female,10,11,123,4321,65,false,false,food_drinks,community_social
The customer service representative's script adherence prevents problem resolution,negative,@script_adherence_frustrated,male,13,10,45,1345,62,false,false,work_business,shopping_retail
My cat's hunting gifts demonstrate sophisticated understanding of family hierarchy! 🐱,positive,@hierarchy_understanding_observer,female,20,15,156,3987,69,false,false,pets_animals,family_relationships
The weather forecast's temperature range predictions are consistently too broad,negative,@temperature_range_broad_critic,male,14,9,40,1234,60,false,false,nature_environment,food_drinks
This volunteer environmental monitoring work protects water quality for everyone,positive,@water_quality_protector,female,8,17,167,4567,62,false,false,work_business,health_wellness
The restaurant's service charge policies are hidden until payment time,negative,@hidden_service_charge_victim,male,19,8,37,1876,55,false,false,food_drinks,shopping_retail
My son's academic conference presentation earned standing ovation! 🎓,positive,@standing_ovation_parent,female,17,26,234,4123,56,false,false,family_relationships,education
The delivery service's route optimization seems to prioritize efficiency over care,negative,@efficiency_over_care_critic,male,15,9,42,1567,64,false,false,transportation,shopping_retail
This meditation app's progress tracking motivates consistent practice,positive,@progress_tracking_motivated,female,22,16,134,2876,55,false,false,health_wellness,technology
The grocery store's organic certification verification process seems questionable,negative,@certification_verification_skeptic,male,16,7,34,1234,61,false,false,pets_animals,shopping_retail
My garden's biodiversity supports beneficial insects and soil health! 🌱,positive,@biodiversity_soil_health_supporter,female,18,14,145,3456,61,false,false,health_wellness,nature_environment
The parking enforcement prioritizes revenue generation over traffic management,negative,@revenue_over_management_critic,male,12,9,41,987,61,false,false,transportation,nature_environment
This community theater's volunteer program builds skills and friendships,positive,@skill_friendship_builder,female,20,15,156,4321,58,false,false,entertainment,community_social
The coffee shop's seating arrangement discourages social interaction,negative,@social_interaction_discouraged,male,10,7,33,1345,54,false,false,food_drinks,community_social
My daughter's science research methodology earned university collaboration invitation! 🔬,positive,@university_collaboration_parent,female,16,27,245,4567,67,false,false,family_relationships,science_research
The internet provider's data usage calculations don't match third-party monitoring,negative,@data_calculation_discrepancy_victim,male,9,11,46,2134,65,false,false,technology,arts_culture
This volunteer literacy program's success stories inspire community investment,positive,@success_story_inspiration_volunteer,female,13,18,178,3987,63,false,false,community_social,personal_development
The restaurant's ingredient quality varies significantly between dishes,negative,@ingredient_quality_inconsistency_critic,male,20,8,36,1876,57,false,false,food_drinks,personal_development
My cat's morning routine includes checking every family member's wellbeing! 🐱,positive,@wellbeing_checker_cat,female,19,16,167,3456,64,false,false,pets_animals,family_relationships
The delivery service's environmental impact claims don't match actual practices,negative,@environmental_claim_skeptic,male,14,10,44,1234,62,false,false,transportation,shopping_retail
This meditation teacher's guidance transforms students' stress management abilities,positive,@stress_management_transformer,female,21,17,178,4321,66,false,false,health_wellness,education
The grocery store's price scanner accuracy has declined significantly,negative,@price_scanner_accuracy_critic,male,15,7,35,1567,54,false,false,shopping_retail,finance_economy
My son's community service leadership inspires peers to volunteer! 🌟,positive,@volunteer_leadership_parent,female,17,25,214,4567,59,false,false,family_relationships,community_social
The parking garage's accessibility features are poorly maintained,negative,@accessibility_maintenance_critic,male,13,8,37,987,53,false,false,transportation,food_drinks
This local bookstore's book club discussions enrich everyone's literary understanding,positive,@literary_understanding_enricher,female,20,14,145,2876,68,false,false,entertainment,shopping_retail
